אָב|<a>v|father
מָזוֹן|maz<o>n|food
לָזוּן|laz<u>n|to nourish, to feed (lit.)
לְהָזִיעַ|lehaz<i>a|to sweat, to perspire
זְווָעָתִי|zva'at<i>|horrible, terrible
לָזוּעַ|laz<u>a|to move (rare)
זְווָעָה|zva'<a>|horror, terror; something bad (coll.)
זָר|z<a>r|alien, foreign, strange, outside
לְהִיזּוֹר|lehiz<o>r|to go away (rare, lit.)
זָחִיחַ|zach<i>ach|mobile, moveable
לְהִזְדַּחֵל|lehizdach<e>l|to crawl, to lurk
לִזְחוֹל|lizch<o>l|to crawl, to cringe, to demean oneself before (בפני)
לְהָזִיד|lehaz<i>d|to sin (knowingly, intentionally) (Judaism)
זִיו|z<i>v|radiance, brilliance, glow
לְהִזְדַּייֵּן|lehizday<e>n|to arm oneself; to fuck
זַיִן|z<a>yin|penis (vulgar); arms, weapons
לְזַייֵּן|lezay<e>n|to arm; to fuck
זִיף|z<i>f|bristle
לְזַייֵּף|lezay<e>f|to forge, to fake
זִירָה|zir<a>|arena
זַיִת|z<a>yit|olive
לִזְכּוֹת|lizk<o>t|to win, to achieve, to get
לְזַכּוֹת|lezak<o>t|to achieve; to credit
זְכוּת|zch<u>t|right, prerogative, privilege
זִיכּוּי|zik<u>y|acquittal; credit (accounting)
זַכַּאי|zak<a>y|innocent, acquitted; eligible, entitled to (ל־)
זַךְ|z<a>ch|clear, pure
לִזְכּוֹר|lizk<o>r|to remember
לְהַזְכִּיר|lehazk<i>r|to remind
לְהִיזָּכֵר|lehizach<e>r|to recall (ב-)
זְכִירָה|zchir<a>|memorization, remembering
אַזְכָּרָה|azkar<a>|commemoration, funeral service
זֵכֶר|z<e>cher|memory (of a deceased person or of some event)
מַזְכֶּרֶת|mazk<e>ret|souvenir, memorable gift
הַזְכָּרָה|hazkar<a>|mentioning
אַזְכָּרָה|azkar<a>|commemoration, memorial
תִּזְכּוֹרֶת|tizk<o>ret|reminder, memorandum
זִיכָּרוֹן|zikar<o>n|memory
לִזְלוֹג|lizl<o>g|to flow, to trickle
מַזְלֵג|mazl<e>g|fork (utensil)
לְזַלְזֵל|lezalz<e>l|to degrade, to disregard (ב-)
זַלְזָל|zalz<a>l|thin branch, tendril (of a plant)
לִזְלוֹל|lizl<o>l|to gobble, to gorge
לְהַזְלִיף|lehazl<i>f|to sprinkle, to splash; to infuse (intravenously)
זִימְזוּם|zimz<u>m|buzz, humming
לְזַמְזֵם|lezamz<e>m|to buzz, to hum
זַמְזָם|zamz<a>m|buzzer
זִימָּה|zim<a>|lust
לְהָזִים|lehaz<i>m|to refute (evidence presented by witness)
מְזִימָּה|mezim<a>|plot, conspiracy
לִזְמוֹם|lizm<o>m|to plot, to devise (a crime, etc.)
לְזַמֵּן|lezam<e>n|to summon, to convene
לְהַזְמִין|lehazm<i>n|to invite, to order
זָמִין|zam<i>n|available
הִזְדַּמְּנוּת|hizdamn<u>t|opportunity; occasion
הַזְמָנָה|hazman<a>|invitation; order (in a restaurant, etc.)
זְמַן|zm<a>n|time; tense (grammar)
זְמַנִּי|zman<i>|temporary
זְמִינוּת|zmin<u>t|availability
מְזוּמָּן|mezum<a>n|cash <em>(used both in singular and plural)</em>
לְהִזְדַּמֵּן|lehizdam<e>n|to occur, to happen
לְזַמֵּר|lezam<e>r|to sing
זַמָּר|zam<a>r|singer
זֵמֶר|z<e>mer|song, melody, musical theme
תִּזְמוֹרֶת|tizm<o>ret|orchestra
מִזְמוֹר|mizm<o>r|psalm; song (lit.)
לִזְמוֹר|lizm<o>r|to prune (grapevine)
זְנַבְנַב|znavn<a>v|tail (diminutive), little tail
זָנָב|zan<a>v|tail (of an animal)
לְזַנֵּב|lezan<e>v|to chase; to steal (slang)
לְהִזְדַּנֵּב|lehizdan<e>v|to trail behind, to queue up (אחרי)
לִזְנוֹחַ|lizn<o>ach|to leave, to abandon
לְהַזְנִיחַ|lehazn<i>ach|to neglect, to abandon
לִזְנוֹת|lizn<o>t|to commit adultery, to be promiscuous
לְזַנּוֹת|lezan<o>t|to commit adultery, to be promiscuous (lit.)
לְזַנֵּק|lezan<e>k|to leap, to jump (ahead), to pounce
זִינּוּק|zin<u>k|start; spurt, dash, leap
לְהַזְנִיק|lehazn<i>k|to launch (a plane, a vehicle); to start (a project, etc.)
לְזַעְזֵעַ|leza'az<e>a|to shake, to rock
לְהִזְדַּעְזֵעַ|lehizda'az<e>a|to be shocked, horrified
לִזְעוֹם|liz'<o>m|to rage, to be angry at (על)
לְהִיזָּעֵם|lehiza'<e>m|to become angry (על)
זַעַם|z<a>'am|anger, fury, wrath, ire
לִזְעוֹף|liz'<o>f|to be furious, to be angry
לְהַזְעִיף|lehaz'<i>f|to frown, to get angry (להזעיף פנים)
לְהַזְעִיק|lehaz'<i>k|to summon, to call (for action, for help)
לִזְעוֹק|liz'<o>k|to scream, to yell, to shout, to cry
אַזְעָקָה|az'ak<a>|siren, alarm
לְהִזְדַּעֵק|lehizda'<e>k|to cry out, to protest (lit.)
זָעִיר|za'<i>r|small, tiny
לְזַעֵר|leza'<e>r|to minimise, to reduce (an image)
לְזַפֵּת|lezap<e>t|to tar, to asphalt
לְהִזְדַּקֵּן|lehizdak<e>n|to age, to grow old
זָקֵן|zak<e>n|old (of age)
זָקָן|zak<a>n|beard
לְהַזְקִין|lehazk<i>n|to age, to grow old; to make old, to make someone look old
לְהִיזָּקֵף|lehizak<e>f|to be recognised, credited to (ל-)
לְהִזְדַּקֵּף|lehizdak<e>f|to straighten up
זִקְפָּה|zikp<a>|erection (penis)
זָקוּף|zak<u>f|erect, straight; vertical
לִזְקוֹף|lizk<o>f|to straighten up, to erect; to credit (to an account)
זִיקּוּק|zik<u>k|distillation, purification
לְזַקֵּק|lezak<e>k|to refine, to distil
לְהִיזָּקֵק|lehizak<e>k|to need, to require (ל-)
זִיקּוּק|zik<u>k|flare, spark, firework (lit.)
זָקוּק|zak<u>k|needs (<em>used as a verb</em>) (ל־)
לְהִזְדַּקֵּק|lehizdak<e>k|to need, to require (ל-)
לְהַזְקִיק|lehazk<i>k|to require, to necessitate
לְהִזְדַּקֵּר|lehizdak<e>r|to protrude, to stick out
לְזַרְגֵּג|lezarg<e>g|to ruin, to wreck (slang); to have sexual intercourse with (vulgar)
מְזוּרְגָּג|mezurg<a>g|bad, rotten, damned (slang)
לְזָרֵז|lezar<e>z|to speed up, to expedite, to hurry
לְהִזְדָּרֵז|lehizdar<e>z|to hurry up, to hustle
זָרִיז|zar<i>z|quick, agile, nimble
זָרָז|zar<a>z|catalyst
אֶזְרָח|ezr<a>ch|citizen
לִזְרוֹחַ|lizr<o>ach|to shine, to dawn
זְרִיחָה|zrich<a>|sunrise
מִזְרָח|mizr<a>ch|east
מִזְרָחָה|mizr<a>cha|to the east, eastward
מִזְרָחִי|mizrach<i>|eastern
לִזְרוֹת|lizr<o>t|to scatter, to sprinkle
לְהִיזָּרוֹת|lehizar<o>t|to be scattered, sprinkled
לְהַזְרִים|lehazr<i>m|to pour, to cause to flow
זֶרֶם|z<e>rem|flow
תַּזְרִים|tazr<i>m|flow (of cash, funds etc.)
לִזְרוֹם|lizr<o>m|to stream, to flow; to be flexible (figurative)
לִזְרוֹעַ|lizr<o>a|to sow, to disseminate
לְהִיזָּרֵעַ|lehizar<e>a|to be sown, disseminated
זֶרַע|z<e>ra|seed; semen
לִזְרוֹק|lizr<o>k|to throw
לְהִיזָּרֵק|lehizar<e>k|to be thrown
לְהַזְרִיק|lehazr<i>k|to inject
מִזְרָקָה|mizrak<a>|fountain
זְרִיקָה|zrik<a>|injection, shot
זֵר|z<e>r|wreath
לְהֵיחָבֵא|lehechav<e>|to be hidden
לְהִתְחַבֵּא|lehitchab<e>|to hide oneself
לְהַחְבִּיא|lehachb<i>|to hide, to conceal
לְחַבֵּב|lechab<e>v|to like, to be fond of, to cherish
תַּחְבִּיב|tachb<i>v|hobby
לַחְבּוֹב|lachb<o>v|to love, to treat with affection (biblical)
לְהִתְחַבֵּב|lehitchab<e>v|to become endeared, to become beloved (על)
לַחְבּוֹט|lachb<o>t|to pound, to beat
לְהֵיחָבֵט|lehechav<e>t|to bump into, to be hurt by (ב, עם)
מַחְבֵּט|machb<e>t|racket, bat (sports)
חֲבָל|chav<a>l|it's a pity; what a waste (על); bad luck!
חוֹבֵל|chov<e>l|sailor; naval officer
לְחַבֵּל|lechab<e>l|to sabotage, to damage (ב-)
לְהֵיחָבֵל|lehechav<e>l|to be bruised, injured
תַּחְבּוּלָה|tachbul<a>|trick, stratagem
חֲבִילָה|chavil<a>|package, bundle; parcel
לַחְבּוֹל|lachb<o>l|to hit, to injure, to damage
לְחַבֵּק|lechab<e>k|to embrace
לַחְבּוֹק|lachb<o>k|to embrace, to clasp, to clinch
לְהִתְחַבֵּק|lehitchab<e>k|to embrace, to hug (each other); to cuddle
לְהַחְבִּיר|lehachb<i>r|to connect, to join (lit.)
לְחַבֵּר|lechab<e>r|to connect, to join
לְהִתְחַבֵּר|lehitchab<e>r|to join together
חֲבֵרָה|chaver<a>|girlfriend; (female) friend; member (of an organisation)
הִתְחַבְּרוּת|hitchabr<u>t|joining, attachment
מַחְבֶּרֶת|machb<e>ret|notebook, exercise book
תַּחְבִּיר|tachb<i>r|syntax
חֲבוּרָה|chavur<a>|company, group, gang
חֶבְרָה|chevr<a>|company, society
חָבֵר|chav<e>r|friend, companion; boyfriend; member (of an organisation)
לַחֲבוֹר|lachav<o>r|to team up, to unite, to join
חִיבּוּר|chib<u>r|addition (mathematics); joining; composition, essay
לְהֵיחָבֵשׁ|lehechav<e>sh|to be bandaged
לַחְבּוֹשׁ|lachb<o>sh|to bandage; to put on (a hat)
חֲבִיתָה|chavit<a>|fried egg
מַחְבָת|machv<a>t|frying pan, skillet
לָחוֹג|lach<o>g|to celebrate
חֲגִיגָה|chagig<a>|celebration, fest
חַג|ch<a>g|holiday
לְהֵיחָגֵג|lehechag<e>g|to be celebrated
לַחְגּוֹר|lachg<o>r|to wear a belt, to girdle
לְחַדֵּד|lechad<e>d|to hone, to sharpen
חַד|ch<a>d|sharp, acute
חַדּוּת|chad<u>t|sharpness, acuteness, keenness
מֶחְדָּל|mechd<a>l|failure; omission; default
לַחְדּוֹל|lachd<o>l|to stop, to cease, to leave off (מן)
חֵדֶק|ch<e>dek|proboscis, trunk (elephant)
לְהַחְדִּיר|lehachd<i>r|to introduce, to instil
חֶדֶר|ch<e>der|room
לַחְדּוֹר|lachd<o>r|to penetrate, to enter (אל, ל-)
חָדָשׁ|chad<a>sh|new
לְחַדֵּשׁ|lechad<e>sh|to renew, to innovate, to modernise
לְהִתְחַדֵּשׁ|lehitchad<e>sh|to regenerate, to be renewed
הִתְחַדְּשׁוּת|hitchadsh<u>t|renewal
חוֹדֶשׁ|ch<o>desh|month
חַדְשָׁן|chadsh<a>n|innovator
חַדְשָׁנִי|chadshan<i>|innovative
חוֹדְשַׁייִם|chodsh<a>yim|two months
לָחוּב|lach<u>v|to owe, to be obliged
לָחוּג|lach<u>g|to circle, to revolve
מְחוּגָה|mechug<a>|compass (drawing device)
לָחוּד|lach<u>d|to give a riddle
חִידָה|chid<a>|riddle, puzzle
חוּט|ch<u>t|thread, string; wire
לְחַווֵּט|lechav<e>t|to wire, to connect with wires
חֲווָיָה|chavay<a>|experience
לְהַחֲווֹת|lehachav<o>t|to indicate, to gesture, to give a sign
מֶחְווָה|mechv<a>|gesture
מַחֲווֶה|machav<e>|pointer
לַחֲווֹת|lachav<o>t|to experience
לְחַוּוֹת|lechav<o>t|to express, to state (an opinion)
לָחוּל|lach<u>l|to occur, to be in force, to fall due
לְהִתְחוֹלֵל|lehitchol<e>l|to occur, to take place
לְהָחִיל|lehach<i>l|to apply, to enforce, to put in force
לְחוֹלֵל|lechol<e>l|to dance (archaic)
חוּם|ch<u>m|brown
חוֹמָה|chom<a>|wall (of a city or a fortress)
חוּמוּס|ch<u>mus|hummus (food)
לָחוּס|lach<u>s|to spare, to pity (על)
לְהִתְחַווֵּר|lehitchav<e>r|to be clarified
לְהַחֲווִיר|lehachav<i>r|to turn pale
חִיווֵּר|chiv<e>r|pale
לָחוּשׁ|lach<u>sh|to sense, to feel (ב-); to hurry
לְהָחִישׁ|lehach<i>sh|to accelerate, to hasten
תְּחוּשָׁה|tchush<a>|feeling
חָזֶה|chaz<e>|chest, bosom
תַּחֲזִית|tachaz<i>t|forecast, prediction
לַחֲזוֹת|lachaz<o>t|to predict, to visualise
לְהִתְחַזּוֹת|lehitchaz<o>t|to impersonate (ל-)
חֲזִית|chaz<i>t|facade, front; battlefront (military)
הִתְחַזּוּת|hitchaz<u>t|impersonation
מַחֲזֶה|machaz<e>|play (theatre); view, sight, scene
חוֹזֶה|choz<e>|contract, agreement
חוֹזֶה|choz<e>|prophet, seer
חֲזִייָּה|chaziy<a>|bra, brassiere
חֲזִיר|chaz<i>r|pig
לְחַזֵּק|lechaz<e>k|to strengthen
לְהִתְחַזֵּק|lehitchaz<e>k|to strengthen, to become stronger
לְהַחְזִיק|lehachz<i>k|to hold, to grip
לַחֲזוֹק|lachaz<o>k|to be strong; to become stronger, to strengthen (archaic)
חוֹזֶק|ch<o>zek|strength, power (rare)
חָזָק|chaz<a>k|strong, powerful
חֲזָקָה|chazak<a>|presumption, commonly accepted fact; possession
חֶזְקָה|chezk<a>|power (mathematics)
לַחֲזוֹר|lachaz<o>r|to return (intransitive); to repeat (על)
לְחַזֵּר|lechaz<e>r|to court, to woo someone (אחרי)
לְהַחֲזִיר|lehachaz<i>r|to return (transitive)
הֶחְזֵר|hechz<e>r|refund; return
מַחְזוֹר|machz<o>r|cycle, period; circulation, turnover; machzor (prayer book)
לְהַחֲטִיא|lehachat<i>|to miss, to misfire
לַחֲטוֹא|lachat<o>|to sin
לְחַטֵּא|lechat<e>|to disinfect, to purify
לְהִתְחַטֵּא|lehitchat<e>|to be purified (of sin) (bibl.); to ingratiate oneself (lit.)
לַחְטוֹב|lacht<o>v|to chop, to hew
לְהֵיחָטֵב|lehechat<e>v|to be chopped, hewn
לְחַטֵּט|lechat<e>t|to pry, to probe
לְהֵיחָטֵף|lehechat<e>f|to be snatched, kidnapped
לְהַחְטִיף|lehacht<i>f|to smack (ל-)
חָטוּף|chat<u>f|kidnapped, captured; brief, momentary
לַחְטוֹף|lacht<o>f|to snatch, to kidnap
לְהִתְחַייֵּב|lehitchay<e>v|to commit, to undertake
לְחַייֵּב|lechay<e>v|to charge, to require, to oblige, to force someone
מְחוּיָּב|mechuy<a>v|obliged, committed
חוֹבָה|chov<a>|obligation; debt
חַייָּב|chay<a>v|must, should, bound, obliged
חַייָּב|chay<a>v|debtor
חוֹב|ch<o>v|debt
חִיּוּב|chiy<u>v|obligation, debit; positivity, agreement; conviction
חִיּוּבִי|chiyuv<i>|positive
הִתְחַייְּבוּת|hitchayv<u>t|liability, commitment, undertaking
מְחוּיָּבוּת|mechuyav<u>t|obligation, responsibility, commitment
לְחַייֵּג|lechay<e>g|to dial, to call
חַייָּט|chay<a>t|tailor
לְחַייֵּט|lechay<e>t|to tailor, to sew (lit.)
חִיּוּת|chiy<u>t|vitality, liveliness
לְהַחֲיוֹת|lehachay<o>t|to revive, to resuscitate
לִחְיוֹת|lichy<o>t|to live
חַיִּים|chay<i>m|life
מִחְיָה|michy<a>|sustenance, means for a living
תְּחִייָּה|tchiy<a>|revival, renaissance
חַיָּה|chay<a>|animal, beast
לְחַייֵּךְ|lechay<e>ch|to smile
חִיּוּךְ|chiy<u>ch|smile
חַייְכָן|chaych<a>n|someone prone to smile, smiler
מְחוּיָּךְ|mechuy<a>ch|smiling
לְחוֹלֵל|lechol<e>l|to cause, to generate, to create
לְהִתְחוֹלֵל|lehitchol<e>l|to occur, to take place
חַייָּל|chay<a>l|soldier
תְּחוּלָה|tchul<a>|inception, effective date (legal)
לְחַייֵּל|lechay<e>l|to enlist, to draft
חֵיק|ch<e>k|bosom, interior
לְחַכּוֹת|lechak<o>t|to await, to wait for (ל-)
לְחַכֵּךְ|lechak<e>ch|to rub
חִיכּוּךְ|chik<u>ch|friction; disagreement
לְהִתְחַכֵּךְ|lehitchak<e>ch|to rub oneself against something (ב־)
לְהִתְחַכֵּם|lehitchak<e>m|to pretend to be wise
חוֹכְמָה|chochm<a>|wisdom
חָכָם|chach<a>m|wise, smart
לַחְכּוֹם|lachk<o>m|to become wiser
לְהַחְכִּים|lehachk<i>m|to become wiser, to learn; to impart wisdom
לְהֵיחָכֵר|lehechach<e>r|to be leased, hired
לְהַחְכִּיר|lehachk<i>r|to let, to lease
לַחְכּוֹר|lachk<o>r|to lease, to rent, to hire
חָלָב|chal<a>v|milk
חֲלָבִי|chalav<i>|dairy, milky (esp. in context of kashrut)
לַחְלוֹב|lachl<o>v|to milk (an animal)
חֲלוּדָה|chalud<a>|rust
לְהַחְלִיד|lehachl<i>d|to rust
חָלוּד|chal<u>d|rusty
חוּלְדָּה|chuld<a>|rat
לְחַלְחֵל|lechalch<e>l|to seep, to permeate (לתוך)
לְהִתְחַלְחֵל|lehitchalch<e>l|to be shocked, to be horrified
לְהַחְלִיט|lehachl<i>t|to decide
לְחַלֵּט|lechal<e>t|to confiscate
חִילּוּט|chil<u>t|confiscation, forfeiture
הַחְלָטָה|hachlat<a>|decision, resolution
לַחְלוֹט|lachl<o>t|to boil (tea); to scald
חִילְטוּר|chilt<u>r|moonlighting, side job (coll.)
לְחַלְטֵר|lechalt<e>r|to moonlight, to make money on the side (coll.)
לַחֲלוֹת|lachal<o>t|to be ill (with) (ב-)
לְחַלּוֹת|lechal<o>t|to make ill, to sicken (archaic); to beg, to implore (archaic)
מַחֲלָה|machal<a>|illness, disease, sickness
לְהִתְחַלּוֹת|lehitchal<o>t|to malinger, to pretend to be ill
חַלּוֹן|chal<o>n|window; gap, free time (coll.)
לְחַלֵּל|lechal<e>l|to desecrate
תְּחִילָּה|tchil<a>|beginning
חָלָל|chal<a>l|space; outer space; void, cavity
חֲלִיל|chal<i>l|flute
חָלִילָה|chal<i>la|God forbid, by no means (usually in expression חַס וְחָלִילָה)
לְהָחֵל|lehach<e>l|to start, to begin (lit.)
לְהַחְלִים|lehachl<i>m|to recover, to convalesce
חָלוֹם|chal<o>m|dream
לַחְלוֹם|lachl<o>m|to dream (of, about: על)
חֲלוּפָה|chaluf<a>|alternative, option
לְהַחֲלִיף|lehachal<i>f|to exchange, to swap
לְהִתְחַלֵּף|lehitchal<e>f|to exchange, to be changed
חֲלִיפָה|chalif<a>|suit (clothing)
הַחְלָפָה|hachlaf<a>|replacement, exchange, swapping
לַחֲלוֹף|lachal<o>f|to move past, to pass away
לַחֲלוֹץ|lachal<o>tz|to remove (a shoe)
לְהֵיחָלֵץ|lehechal<e>tz|to be rescued, to escape
לְחַלֵּץ|lechal<e>tz|to rescue, to deliver
חָלוּץ|chal<u>tz|pioneer; forward, striker (football)
חוּלְצָה|chultz<a>|shirt
לְחַלֵּק|lechal<e>k|to share, to divide
לְהַחֲלִיק|lehachal<i>k|to slip, to slide; to make smooth
חֲלַקְלַק|chalakl<a>k|slippery, very smooth; hypocritical
חֵלֶק|ch<e>lek|part, portion
חָלָק|chal<a>k|smooth
חֲלוּקָּה|chaluk<a>|distribution; division
חֶלְקִיק|chelk<i>k|particle (physics)
מְחַלֵּק|mechal<e>k|divisor (mathematics); distributor (person)
לַחֲלוֹק|lachal<o>k|to share, to divide; to disagree
לְהִתְחַלֵּק|lehitchal<e>k|to be shared, divided; to slip
לְהֵיחָלֵק|lehechal<e>k|to be divided; to disagree
לְהַחֲלִישׁ|lehachal<i>sh|to weaken, to make weaker
לַחֲלוֹשׁ|lachal<o>sh|to become weaker
לְהִתְחַלֵּשׁ|lehitchal<e>sh|to become weaker (lit.)
לְהֵיחָלֵשׁ|lehechal<e>sh|to become weaker
חוּלְשָׁה|chulsh<a>|weakness
חַלָּשׁ|chal<a>sh|weak, feeble
לַחֲלוֹשׁ|lachal<o>sh|to dominate (over someone) (על)
חָם|ch<a>m|father-in-law
לְהַחֲמִיא|lehacham<i>|to compliment, to flatter
חָמוּד|cham<u>d|cute, sweet, charming; cutie, sweetie (as noun)
חֶמְדָּה|chemd<a>|desire, lust; treasure, precious thing
נֶחְמָד|nechm<a>d|nice, lovely
לַחְמוֹד|lachm<o>d|to covet, to lust
חָמוֹת|cham<o>t|mother-in-law
לַחְמוֹל|lachm<o>l|to pity (על)
חָמִים|cham<i>m|warm; cosy, pleasant
לְחַמֵּם|lecham<e>m|to heat, to warm up
חוֹם|ch<o>m|heat, warmth
הִתְחַמְּמוּת|hitchamem<u>t|heating, warming up, becoming hot
חַם|ch<a>m|hot, warm
לְהִתְחַמֵּם|lehitcham<e>m|to warm up, to become hot, to be excited
לְהַחֲמִיץ|lehacham<i>tz|to become sour; to miss on an opportunity
לַחְמוֹץ|lachm<o>tz|to ferment (of dough, etc.), to leaven, to turn sour
חוּמְצָה|chumtz<a>|acid
חוֹמֶץ|ch<o>metz|vinegar
מַחְמָץ|machm<a>tz|pickled food, pickles
חַמְצָן|chamtz<a>n|oxygen
חָמוּץ|cham<u>tz|sour
לְהִתְחַמֵּץ|lehitcham<e>tz|to leaven (of dough, Talmudic)
לְחַמְצֵן|lechamtz<e>n|to oxidise
לְהִתְחַמְצֵן|lehitchamtz<e>n|to get oxidised
לְהִתְחַמֵּק|lehitcham<e>k|to dodge, to avoid
חֲמַקְמַק|chamakm<a>k|evasive, elusive, slippery
לַחְמוֹק|lachm<o>k|to slip, to sneak, to avoid
לְהַחְמִיר|lehachm<i>r|to aggravate, to exacerbate
חֵימָר|chem<a>r|clay
חוֹמֶר|ch<o>mer|material, substance
לְהִתְחַמֵּשׁ|lehitcham<e>sh|to be armed, equipped
חֲמִישִׁי|chamish<i>|fifth
חָמוּשׁ|cham<u>sh|armed
חוֹמֶשׁ|ch<o>mesh|fifth part
לַחְנוֹט|lachn<o>t|to embalm
לְהֵיחָנֵט|lehechan<e>t|to be embalmed
לַחֲנוֹת|lachan<o>t|to park; to camp
לְהַחֲנוֹת|lehachan<o>t|to park (a car)
מַחֲנֶה|machan<e>|camp
חֲנוּת|chan<u>t|shop, store
תַּחֲנָה|tachan<a>|station, stop (train, autobus, etc.)
לְחַנֵּךְ|lechan<e>ch|to educate, to teach
לְהֵיחָנֵךְ|lehechan<e>ch|to be inaugurated
חִינּוּךְ|chin<u>ch|education
לְהִתְחַנֵּךְ|lehitchan<e>ch|to be educated
חָנִיךְ|chan<i>ch|student, pupil
חֲנוּכָּה|chanuk<a>|inauguration, opening ceremony; Hanukkah
חִינּוּכִי|chinuch<i>|educational
לַחֲנוֹךְ|lachan<o>ch|to inaugurate, to dedicate
לְהִתְחַנֵּן|lehitchan<e>n|to plead, to ask for mercy
לָחוֹן|lach<o>n|to pardon, to amnesty; to endow
מְחוּנָּן|mechun<a>n|to be endowed, provided with
לְהִתְחַנֵּף|lehitchan<e>f|to curry favour
לְהַחֲנִיף|lehachan<i>f|to flatter
חַנְפָן|chanf<a>n|sycophant, flatterer
לַחֲנוֹק|lachan<o>k|to choke, to strangle
לְהֵיחָנֵק|lehechan<e>k|to choke, to be strangled
חֲנִיקָה|chanik<a>|choking, strangling
לְהַחְנִיק|lehachn<i>k|to asphyxiate, to choke, to strangle
חֶנֶק|ch<e>nek|strangulation, choking
חַנָּק|chan<a>k|javelin sand boa (snake)
לְהִתְחַסֵּד|lehitchas<e>d|to feign piety
חֶסֶד|ch<e>sed|kindness, charity, grace
חֲסִידָה|chasid<a>|stork
לַחֲסוֹת|lachas<o>t|to take refuge
חָסוּת|chas<u>t|shelter, refuge; patronage, protection
חִיסָּיוֹן|chisay<o>n|legal protection; confidentiality
לְהֵיחָסֵךְ|lehechas<e>ch|to be saved, spared
לַחֲסוֹךְ|lachas<o>ch|to save, to economise
חִיסָּכוֹן|chisach<o>n|economy, saving
לְחַסֵּל|lechas<e>l|to eliminate
לְהִתְחַסֵּל|lehitchas<e>l|to be liquidated
חִיסּוּל|chis<u>l|elimination
לְהֵיחָסֵם|lehechas<e>m|to be blocked, obstructed
מַחְסוֹם|machs<o>m|barrier, barricade; obstacle
לַחְסוֹם|lachs<o>m|to block, to obstruct
לְחַסֵּן|lechas<e>n|to strengthen, to immunise, to vaccinate
מַחְסָן|machs<a>n|store, warehouse, depot
מַחְסָנִית|machsan<i>t|magazine (of a weapon)
חוֹסֶן|ch<o>sen|strength, power
לְהִתְחַסֵּן|lehitchas<e>n|to be immunised, inoculated
לְהִתְחַסֵּן|lehitchas<e>n|to strengthen oneself, to be immunised
לְחַסְפֵּס|lechasp<e>s|to roughen, to make rough
מְחוּסְפָּס|mechusp<a>s|coarse, rough
לְהַחְסִיר|lehachs<i>r|to subtract; to skip, to miss, to be absent (from a class etc.)
לַחְסוֹר|lachs<o>r|to lack, to diminish
לְחַסֵּר|lechas<e>r|to reduce, to lessen, to subtract
חָסֵר|chas<e>r|lacking, deficient; -less (when used in construct state)
חִיסָּרוֹן|chisar<o>n|drawback, disadvantage
חוֹסֶר|ch<o>ser|lack, absence
חִיסּוּר|chis<u>r|subtraction (mathematics); absence
לְהֵיחָפֵז|lehechaf<e>z|to rush, to hurry
לְחַפּוֹת|lechap<o>t|to cover; to overlap
לָחוֹף|lach<o>f|to coincide, to overlap
לְחוֹפֵף|lechof<e>f|to overlap
לְהִתְחָפֵף|lehitchaf<e>f|to go away, to buzz off, to hit the road (slang)
לַחְפּוֹף|lachp<o>f|to wash (hair)
לַחְפּוֹף|lachp<o>f|to correspond, to match; to cover, to protect (lit.)
לַחְפּוֹץ|lachp<o>tz|to wish, to want something (ב-)
לַחְפּוֹר|lachp<o>r|to dig, to excavate
לְהֵיחָפֵר|lehechaf<e>r|to be excavated
לְהִתְחַפֵּר|lehitchap<e>r|to entrench
לְחַפֵּשׂ|lechap<e>s|to search
לְהִתְחַפֵּשׂ|lehitchap<e>s|to disguise oneself (as someone) (ל-)
חִיפּוּשׂ|chip<u>s|search
חוֹפְשִׁי|chofsh<i>|free, unrestricted
תַּחְפּוֹשֶׂת|tachp<o>set|fancy dress, costume
חוֹפֶשׁ|ch<o>fesh|freedom, liberty; holidays, vacation (coll.)
לַחְצוֹב|lachtz<o>v|to chisel, to carve
לְהֵיחָצֵב|lehechatz<e>v|to be chiselled, carved
מַחְצָב|machtz<a>v|mineral
חָצָב|chatz<a>v|squill (plant)
לַחֲצוֹת|lachatz<o>t|to cross, to intersect
מַחֲצִית|machatz<i>t|half (of something)
חֲצָאִית|chatza'<i>t|skirt
לְהֵיחָצוֹת|lehechatz<o>t|to be divided, to be crossed
חֶצִי|ch<e>tzi|half
לְהִתְחַצֵּף|lehitchatz<e>f|to be rude, to be insolent
חוּצְפָּה|chutzp<a>|insolence, audacity
מְחִיצָּה|mechitz<a>|partition; barrier
לְחַצְצֵר|lechatzetz<e>r|to play on a trumpet
חָצֵר|chatz<e>r|yard, backyard, garden
לְחַקּוֹת|lechak<o>t|to imitate, to simulate (את)
לְהִתְחַקּוֹת|lehitchak<o>t|to investigate (אחרי)
חַקְייָן|chaky<a>n|imitator, mimic
חִיקּוּי|chik<u>y|imitation, mimicry, impersonation; parody
חוֹקֶן|ch<o>ken|enema
לְחוֹקֵק|lechok<e>k|to enact, to legislate
תְּחִיקָּה|tchik<a>|legislation
חוֹק|ch<o>k|law, decree, rule
לְהֵיחָקֵק|lehechak<e>k|to be engraved; to be enacted (of a law)
תְּחִיקָּה|tchik<a>|legislation
לַחְקוֹק|lachk<o>k|to inscribe, to engrave
לַחְקוֹר|lachk<o>r|to research, to investigate
לְהֵיחָקֵר|lehechak<e>r|to be investigated, explored
תַּחְקִיר|tachk<i>r|investigation, inquiry
מֶחְקָר|mechk<a>r|research, study, survey
חֵקֶר|ch<e>ker|research, study
