av|אָב
legarger|לְגַרְגֵּר
legared|לְגָרֵד
lehitgared|לְהִתְגָּרֵד
garzen|גַּרְזֶן
legarot|לְגָרוֹת
lehitgarot|לְהִתְגָּרוֹת
etgar|אֶתְגָר
lehagril|לְהַגְרִיל
hagrala|הַגְרָלָה
goral|גּוֹרָל
lehigarem|לְהִיגָּרֵם
ligrom|לִגְרוֹם
lehigares|לְהִיגָּרֵס
girsa|גִּירְסָה
ligros|לִגְרוֹס
ligroa|לִגְרוֹעַ
lehigarea|לְהִיגָּרֵעַ
garua|גָּרוּעַ
gera'on|גֵּירָעוֹן
ligrof|לִגְרוֹף
lehigaref|לְהִיגָּרֵף
egrof|אֶגְרוֹף
lehigarer|לְהִיגָּרֵר
legarer|לְגָרֵר
grar|גְּרָר
ligror|לִגְרוֹר
legaresh|לְגָרֵשׁ
lehitgaresh|לְהִתְגָּרֵשׁ
garush|גָּרוּשׁ
geresh|גֶּרֶשׁ
migrash|מִגְרָשׁ
lehagshim|לְהַגְשִׁים
lehitgashem|לְהִתְגַּשֵּׁם
geshem|גֶּשֶׁם
hitgashmut|הִתְגַּשְּׁמוּת
gashum|גָּשׁוּם
legasher|לְגַשֵּׁר
gesher|גֶּשֶׁר
ligshor|לִגְשׁוֹר
legashesh|לְגַשֵּׁשׁ
lehitgoshesh|לְהִתְגּוֹשֵׁשׁ
lid'ov|לִדְאוֹב
lid'og|לִדְאוֹג
lehad'ig|לְהַדְאִיג
de'aga|דְּאָגָה
lid'ot|לִדְאוֹת
da'on|דָּאוֹן
do'ar|דּוֹאַר
ledovev|לְדוֹבֵב
dov|דּוֹב
ledabev|לְדַבֵּב
lidbov|לִדְבּוֹב
ledavlel|לְדַבְלֵל
lidbok|לִדְבּוֹק
lehidavek|לְהִידָּבֵק
madbeka|מַדְבֵּקָה
lehadbik|לְהַדְבִּיק
midabek|מִידַּבֵּק
devek|דֶּבֶק
dibur|דִּיבּוּר
ledaber|לְדַבֵּר
lehadbir|לְהַדְבִּיר
midbar|מִדְבָּר
lehidaver|לְהִידָּבֵר
davar|דָּבָר
lehidaber|לְהִידַּבֵּר
dvir|דְּבִיר
hidavrut|הִידָּבְרוּת
dover|דּוֹבֵר
doveret|דּוֹבֶרֶת
medaber|מְדַבֵּר
dvash|דְּבַשׁ
ledagdeg|לְדַגְדֵּג
lidgol|לִדְגּוֹל
degel|דֶּגֶל
lehadgim|לְהַדְגִּים
degem|דֶּגֶם
dugma|דּוּגְמָה
lidgor|לִדְגּוֹר
lehadgish|לְהַדְגִּישׁ
lidhot|לִדְהוֹת
lehidahem|לְהִידָּהֵם
lehadhim|לְהַדְהִים
lidhor|לִדְהוֹר
duvdevan|דּוּבְדְּבָן
ladug|לָדוּג
dag|דָּג
dod|דּוֹד
dud|דּוּדּ
doda|דּוֹדָה
davka|דַּווְקָא
ledaveach|לְדַווֵּחַ
mediach|מֵדִיחַ
lehadiach|לְהָדִיחַ
hadacha|הֲדָחָה
dave|דָּווֶה
lidvot|לִדְווֹת
duchan|דּוּכָן
ladun|לָדוּן
lehidon|לְהִידּוֹן
davar|דַּווָּר
dor|דּוֹר
dira|דִּירָה
ladur|לָדוּר
ladush|לָדוּשׁ
divush|דִּיוּוּשׁ
davsha|דַּווְשָׁה
ledavesh|לְדַווֵּשׁ
lehidachot|לְהִידָּחוֹת
lidchot|לִדְחוֹת
dachuy|דָּחוּי
dichuy|דִּיחוּי
lidchos|לִדְחוֹס
madches|מַדְחֵס
lidchof|לִדְחוֹף
lehidachef|לְהִידָּחֵף
lidchok|לִדְחוֹק
lehidachek|לְהִידָּחֵק
dachak|דַּחַק
dochak|דּוֹחַק
dchika|דְּחִיקָה
dachuk|דָּחוּק
lehadchik|לְהַדְחִיק
hadchaka|הַדְחָקָה
hedchek|הֶדְחֵק
dayag|דַּייָּג
dyokan|דְּיוֹקָן
day|דַּיי
dayal|דַּייָּל
diyun|דִּיּוּן
dayan|דַּייָּן
din|דִּין
medina|מְדִינָה
lehidayen|לְהִידַּייֵּן
ledayek|לְדַייֵּק
diyuk|דִּיּוּק
meduyak|מְדוּיָּק
ledake|לְדַכֵּא
dika'on|דִּיכָּאוֹן
lidlog|לִדְלוֹג
ledaleg|לְדַלֵּג
meduldal|מְדוּלְדָּל
ledaldel|לְדַלְדֵּל
lehidaldel|לְהִידַּלְדֵּל
lidlot|לִדְלוֹת
ledalot|לְדַלּוֹת
ledalel|לְדַלֵּל
dal|דַּל
dalut|דַּלּוּת
dal|דַּל
dalil|דָּלִיל
lehadlif|לְהַדְלִיף
lidlof|לִדְלוֹף
dlifa|דְּלִיפָה
lehidalek|לְהִידָּלֵק
lehadlik|לְהַדְלִיק
delek|דֶּלֶק
daleket|דַּלֶּקֶת
daluk|דָּלוּק
hadlaka|הַדְלָקָה
lidlok|לִדְלוֹק
delet|דֶּלֶת
ledamdem|לְדַמְדֵּם
demokratya|דֶּמוֹקְרַטְיָה
lidmot|לִדְמוֹת
lehidamot|לְהִידָּמוֹת
ledamot|לְדַמּוֹת
dimyon|דִּמְיוֹן
dmut|דְּמוּת
tadmit|תַּדְמִית
lehadmot|לְהַדְמוֹת
hadmaya|הַדְמָיָה
lehidamot|לְהִידַּמּוֹת
ledamyen|לְדַמְייֵן
lehidom|לְהִידּוֹם
ledamem|לְדַמֵּם
ladom|לָדוֹם
dam|דָּם
lidmoa|לִדְמוֹעַ
dim'a|דִּמְעָה
ledaskes|לְדַסְקֵס
lid'och|לִדְעוֹךְ
ledafdef|לְדַפְדֵּף
dafdefet|דַּפְדֶּפֶת
dafdefan|דַּפְדְּפָן
dofen|דּוֹפֶן
lehadpis|לְהַדְפִּיס
dfus|דְּפוּס
madpeset|מַדְפֶּסֶת
tadpis|תַּדְפִּיס
daf|דַּף
lehidafek|לְהִידָּפֵק
lidpok|לִדְפּוֹק
lehitdapek|לְהִתְדַּפֵּק
ledakdek|לְדַקְדֵּק
dikduk|דִּיקְדּוּק
ledaklem|לְדַקְלֵם
daka|דַּקָּה
dak|דַּק
lidkor|לִדְקוֹר
lehidaker|לְהִידָּקֵר
ledarben|לְדַרְבֵּן
ledareg|לְדָרֵג
madrega|מַדְרֵגָה
hadraga|הַדְרָגָה
darga|דַּרְגָּה
dereg|דֶּרֶג
ledarder|לְדַרְדֵּר
lehidarder|לְהִידַּרְדֵּר
lehidarech|לְהִידָּרֵךְ
lehadrich|לְהַדְרִיךְ
tadrich|תַּדְרִיךְ
derech|דֶּרֶךְ
hadracha|הַדְרָכָה
midracha|מִדְרָכָה
darkon|דַּרְכּוֹן
lidroch|לִדְרוֹךְ
lehidarech|לְהִידָּרֵךְ
lehadrim|לְהַדְרִים
darom|דָּרוֹם
daroma|דָּרוֹמָה
dromi|דְּרוֹמִי
lehidares|לְהִידָּרֵס
dores|דּוֹרֵס
lidros|לִדְרוֹס
lehidaresh|לְהִידָּרֵשׁ
drisha|דְּרִישָׁה
darush|דָּרוּשׁ
midrash|מִדְרָשׁ
midrasha|מִדְרָשָׁה
lidrosh|לִדְרוֹשׁ
deshe|דֶּשֶׁא
ledashdesh|לְדַשְׁדֵּשׁ
doshen|דּוֹשֶׁן
deshen|דֶּשֶׁן
dishun|דִּישּׁוּן
ledashen|לְדַשֵּׁן
dat|דָּת
dati|דָּתִי
lehavhev|לְהַבְהֵב
lehahbil|לְהַהְבִּיל
lahagot|לַהֲגוֹת
lehehagot|לְהֵיהָגוֹת
higayon|הִיגָּיוֹן
lehager|לְהַגֵּר
hagira|הֲגִירָה
lehadhed|לְהַדְהֵד
hadas|הֲדַס
lahadof|לַהֲדוֹף
lehadek|לְהַדֵּק
hedek|הֶדֶק
lehithadek|לְהִתְהַדֵּק
nehedar|נֶהֱדָר
mahadura|מַהֲדוּרָה
hu|הוּא
lehavot|לְהַוּוֹת
lehithavot|לְהִתְהַוּוֹת
hithavut|הִתְהַוּוּת
mehuma|מְהוּמָה
hon|הוֹן
lehaven|לְהַווֵּן
lahazot|לַהֲזוֹת
hazuy|הָזוּי
hi|הִיא
hayom|הַיּוֹם
lihyot|לִהְיוֹת
nihya|נִהְיָה
hechal|הֵיכָל
historya|הִיסְטוֹרְיָה
hacha|הָכָא
halevay|הַלְווַאי
lalechet|לָלֶכֶת
lehalech|לְהַלֵּךְ
lehithalech|לְהִתְהַלֵּךְ
mahalach|מַהֲלָךְ
halich|הֲלִיךְ
halicha|הֲלִיכָה
lehalel|לְהַלֵּל
lehithalel|לְהִתְהַלֵּל
tehilot|תְּהִילּוֹת
tehila|תְּהִילָּה
lehahel|לְהָהֵל
lahalom|לַהֲלוֹם
lahalom|לַהֲלוֹם
hem|הֵם
lehamhem|לְהַמְהֵם
lehamot|לְהַמּוֹת
lahamot|לַהֲמוֹת
lahom|לָהוֹם
lehamem|לְהַמֵּם
mehamem|מְהַמֵּם
lehamer|לְהַמֵּר
himur|הִימּוּר
hen|הֵן
mehandes|מְהַנְדֵּס
handasa|הַנְדָּסָה
lehandes|לְהַנְדֵּס
hine|הִנֵּה
lehanhen|לְהַנְהֵן
lehanot|לֵיהָנוֹת
lehasot|לְהַסּוֹת
lehases|לְהַסֵּס
lehithapech|לְהִתְהַפֵּךְ
lahafoch|לַהֲפוֹךְ
lehehafech|לְהֵיהָפֵךְ
hefech|הֶפֶךְ
hipuch|הִיפּוּךְ
mahpecha|מַהְפֵּכָה
hithapchut|הִתְהַפְּכוּת
lehapnet|לְהַפְּנֵט
laharog|לַהֲרוֹג
lehehareg|לְהֵיהָרֵג
leharher|לְהַרְהֵר
hirhur|הִירְהוּר
laharot|לַהֲרוֹת
herayon|הֵירָיוֹן
hore|הוֹרֶה
lehehares|לְהֵיהָרֵס
laharos|לַהֲרוֹס
heres|הֶרֶס
har|הָר
lehatel|לְהַתֵּל
v|ו־
vada'i|וַדָאִי
levade|לְווַדֵּא
lehitvadot|לְהִתְווַדּוֹת
lehitvadea|לְהִתְווַדֵּעַ
vikuach|וִיכּוּחַ
lehitvakeach|לְהִתְווַכֵּחַ
leholich|לְהוֹלִיךְ
molich|מוֹלִיךְ
levaset|לְווַסֵּת
va'ad|וַעַד
ve'ida|וְעִידָה
lehavrid|לְהַווְרִיד
vered|וֶרֶד
vrid|וְרִיד
varod|וָרוֹד
vetek|וֶתֶק
vatik|וָתִיק
lehotir|לְהוֹתִיר
vitur|וִיתּוּר
levater|לְווַתֵּר
notar|נוֹתָר
ze'ev|זְאֵב
zot|זֹאת
zvuv|זְבוּב
lizboach|לִזְבּוֹחַ
lezabeach|לְזַבֵּחַ
lehizaveach|לְהִיזָּבֵחַ
zevach|זֶבַח
mizbeach|מִזְבֵּחַ
zevel|זֶבֶל
mizbala|מִזְבָּלָה
lezabel|לְזַבֵּל
zagag|זַגָּג
ze|זֶה
lehazhiv|לְהַזְהִיב
zahav|זָהָב
lezahot|לְזַהוֹת
lehizdahot|לְהִזְדַּהוֹת
zihuy|זִיהוּי
zehe|זֵהֶה
zehut|זֶהוּת
lezahem|לְזַהֵם
lehizdahem|לְהִזְדַּהֵם
azhara|אַזְהָרָה
lizhor|לִזְהוֹר
lehazhir|לְהַזְהִיר
lehizaher|לְהִיזָּהֵר
hazhara|הַזְהָרָה
zahir|זָהִיר
zehirut|זְהִירוּת
zo|זוֹ
zu|זוּ
lazuv|לָזוּב
lezaveg|לְזַווֵּג
lehizdaveg|לְהִזְדַּווֵּג
lezaved|לְזַווֵּד
mizvada|מִזְווָדָה
mizvad|מִזְווָד
lazud|לָזוּד
lazuz|לָזוּז
lehaziz|לְהָזִיז
zol|זוֹל
lehazin|לְהָזִין
lehizon|לְהִיזּוֹן
mazon|מָזוֹן
lazun|לָזוּן
lehazia|לְהָזִיעַ
zva'ati|זְווָעָתִי
lazua|לָזוּעַ
zva'a|זְווָעָה
zar|זָר
lehizor|לְהִיזּוֹר
zachiach|זָחִיחַ
lehizdachel|לְהִזְדַּחֵל
lizchol|לִזְחוֹל
lehazid|לְהָזִיד
ziv|זִיו
lehizdayen|לְהִזְדַּייֵּן
zayin|זַיִן
lezayen|לְזַייֵּן
zif|זִיף
lezayef|לְזַייֵּף
zira|זִירָה
zayit|זַיִת
lizkot|לִזְכּוֹת
lezakot|לְזַכּוֹת
zchut|זְכוּת
zikuy|זִיכּוּי
zakay|זַכַּאי
zachyan|זַכְייָן
zach|זַךְ
lizkor|לִזְכּוֹר
lehazkir|לְהַזְכִּיר
lehizacher|לְהִיזָּכֵר
zchira|זְכִירָה
azkara|אַזְכָּרָה
zecher|זֵכֶר
mazkeret|מַזְכֶּרֶת
hazkara|הַזְכָּרָה
azkara|אַזְכָּרָה
tizkoret|תִּזְכּוֹרֶת
zikaron|זִיכָּרוֹן
lizlog|לִזְלוֹג
mazleg|מַזְלֵג
lezalzel|לְזַלְזֵל
zalzal|זַלְזָל
lizlol|לִזְלוֹל
lehazlif|לְהַזְלִיף
zimzum|זִימְזוּם
lezamzem|לְזַמְזֵם
zamzam|זַמְזָם
zima|זִימָּה
lehazim|לְהָזִים
mezima|מְזִימָּה
lizmom|לִזְמוֹם
lezamen|לְזַמֵּן
lehazmin|לְהַזְמִין
zamin|זָמִין
hizdamnut|הִזְדַּמְּנוּת
hazmana|הַזְמָנָה
zman|זְמַן
zmani|זְמַנִּי
zminut|זְמִינוּת
mezuman|מְזוּמָּן
lehizdamen|לְהִזְדַּמֵּן
lezamer|לְזַמֵּר
zamar|זַמָּר
zemer|זֵמֶר
tizmoret|תִּזְמוֹרֶת
mizmor|מִזְמוֹר
lizmor|לִזְמוֹר
zan|זַןּ
znavnav|זְנַבְנַב
zanav|זָנָב
lezanev|לְזַנֵּב
lehizdanev|לְהִזְדַּנֵּב
liznoach|לִזְנוֹחַ
lehazniach|לְהַזְנִיחַ
liznot|לִזְנוֹת
lezanot|לְזַנּוֹת
lezanek|לְזַנֵּק
zinuk|זִינּוּק
lehaznik|לְהַזְנִיק
leza'azea|לְזַעְזֵעַ
lehizda'azea|לְהִזְדַּעְזֵעַ
liz'om|לִזְעוֹם
lehiza'em|לְהִיזָּעֵם
za'am|זַעַם
liz'of|לִזְעוֹף
lehaz'if|לְהַזְעִיף
lehaz'ik|לְהַזְעִיק
liz'ok|לִזְעוֹק
az'aka|אַזְעָקָה
lehizda'ek|לְהִזְדַּעֵק
za'ir|זָעִיר
leza'er|לְזַעֵר
lezapet|לְזַפֵּת
lehizdaken|לְהִזְדַּקֵּן
zaken|זָקֵן
zakan|זָקָן
lehazkin|לְהַזְקִין
lehizakef|לְהִיזָּקֵף
lehizdakef|לְהִזְדַּקֵּף
zikpa|זִקְפָּה
zakuf|זָקוּף
lizkof|לִזְקוֹף
zikuk|זִיקּוּק
lezakek|לְזַקֵּק
lehizakek|לְהִיזָּקֵק
zikuk|זִיקּוּק
zakuk|זָקוּק
lehizdakek|לְהִזְדַּקֵּק
lehazkik|לְהַזְקִיק
lehizdaker|לְהִזְדַּקֵּר
lezargeg|לְזַרְגֵּג
mezurgag|מְזוּרְגָּג
lezarez|לְזָרֵז
lehizdarez|לְהִזְדָּרֵז
zariz|זָרִיז
zaraz|זָרָז
ezrach|אֶזְרָח
lizroach|לִזְרוֹחַ
zricha|זְרִיחָה
mizrach|מִזְרָח
mizracha|מִזְרָחָה
mizrachi|מִזְרָחִי
lizrot|לִזְרוֹת
lehizarot|לְהִיזָּרוֹת
lehazrim|לְהַזְרִים
zerem|זֶרֶם
tazrim|תַּזְרִים
lizrom|לִזְרוֹם
lizroa|לִזְרוֹעַ
lehizarea|לְהִיזָּרֵעַ
zera|זֶרַע
lizrok|לִזְרוֹק
lehizarek|לְהִיזָּרֵק
lehazrik|לְהַזְרִיק
mizraka|מִזְרָקָה
zrika|זְרִיקָה
zer|זֵר
lehechave|לְהֵיחָבֵא
lehitchabe|לְהִתְחַבֵּא
lehachbi|לְהַחְבִּיא
lechabev|לְחַבֵּב
tachbiv|תַּחְבִּיב
lachbov|לַחְבּוֹב
lehitchabev|לְהִתְחַבֵּב
lachbot|לַחְבּוֹט
lehechavet|לְהֵיחָבֵט
machbet|מַחְבֵּט
chaval|חֲבָל
chovel|חוֹבֵל
lechabel|לְחַבֵּל
lehechavel|לְהֵיחָבֵל
tachbula|תַּחְבּוּלָה
chavila|חֲבִילָה
lachbol|לַחְבּוֹל
lechabek|לְחַבֵּק
lachbok|לַחְבּוֹק
lehitchabek|לְהִתְחַבֵּק
lehachbir|לְהַחְבִּיר
lechaber|לְחַבֵּר
lehitchaber|לְהִתְחַבֵּר
chavera|חֲבֵרָה
hitchabrut|הִתְחַבְּרוּת
machberet|מַחְבֶּרֶת
tachbir|תַּחְבִּיר
chavura|חֲבוּרָה
chevra|חֶבְרָה
chaver|חָבֵר
lachavor|לַחֲבוֹר
chibur|חִיבּוּר
tachbura|תַּחְבּוּרָה
lehechavesh|לְהֵיחָבֵשׁ
lachbosh|לַחְבּוֹשׁ
chavita|חֲבִיתָה
machvat|מַחְבָת
lachog|לָחוֹג
chagiga|חֲגִיגָה
chag|חַג
lehechageg|לְהֵיחָגֵג
lachgor|לַחְגּוֹר
chagura|חֲגוּרָה
lechaded|לְחַדֵּד
chad|חַד
chadut|חַדּוּת
mechdal|מֶחְדָּל
lachdol|לַחְדּוֹל
chedek|חֵדֶק
lehachdir|לְהַחְדִּיר
cheder|חֶדֶר
lachdor|לַחְדּוֹר
chadash|חָדָשׁ
lechadesh|לְחַדֵּשׁ
lehitchadesh|לְהִתְחַדֵּשׁ
hitchadshut|הִתְחַדְּשׁוּת
chodesh|חוֹדֶשׁ
chadshan|חַדְשָׁן
chadshani|חַדְשָׁנִי
chodshayim|חוֹדְשַׁייִם
lachuv|לָחוּב
lachug|לָחוּג
mechuga|מְחוּגָה
lachud|לָחוּד
chida|חִידָה
chut|חוּט
lechavet|לְחַווֵּט
chavaya|חֲווָיָה
lehachavot|לְהַחֲווֹת
mechva|מֶחְווָה
machave|מַחֲווֶה
lachavot|לַחֲווֹת
lechavot|לְחַוּוֹת
lachul|לָחוּל
lehitcholel|לְהִתְחוֹלֵל
lehachil|לְהָחִיל
lecholel|לְחוֹלֵל
chum|חוּם
choma|חוֹמָה
chumus|חוּמוּס
lachus|לָחוּס
lehitchaver|לְהִתְחַווֵּר
lehachavir|לְהַחֲווִיר
chiver|חִיווֵּר
lachush|לָחוּשׁ
lehachish|לְהָחִישׁ
tchusha|תְּחוּשָׁה
chaze|חָזֶה
tachazit|תַּחֲזִית
lachazot|לַחֲזוֹת
lehitchazot|לְהִתְחַזּוֹת
chazit|חֲזִית
hitchazut|הִתְחַזּוּת
machaze|מַחֲזֶה
choze|חוֹזֶה
choze|חוֹזֶה
chaziya|חֲזִייָּה
chazir|חֲזִיר
lechazek|לְחַזֵּק
lehitchazek|לְהִתְחַזֵּק
lehachzik|לְהַחְזִיק
lachazok|לַחֲזוֹק
chozek|חוֹזֶק
chazak|חָזָק
chazaka|חֲזָקָה
chezka|חֶזְקָה
lachazor|לַחֲזוֹר
lechazer|לְחַזֵּר
lehachazir|לְהַחֲזִיר
hechzer|הֶחְזֵר
machzor|מַחְזוֹר
lehachati|לְהַחֲטִיא
lachato|לַחֲטוֹא
lechate|לְחַטֵּא
lehitchate|לְהִתְחַטֵּא
lachtov|לַחְטוֹב
lehechatev|לְהֵיחָטֵב
lechatet|לְחַטֵּט
lehechatef|לְהֵיחָטֵף
lehachtif|לְהַחְטִיף
chatuf|חָטוּף
lachtof|לַחְטוֹף
lehitchayev|לְהִתְחַייֵּב
lechayev|לְחַייֵּב
mechuyav|מְחוּיָּב
chova|חוֹבָה
chayav|חַייָּב
chayav|חַייָּב
chov|חוֹב
chiyuv|חִיּוּב
chiyuvi|חִיּוּבִי
hitchayvut|הִתְחַייְּבוּת
mechuyavut|מְחוּיָּבוּת
lechayeg|לְחַייֵּג
chayat|חַייָּט
lechayet|לְחַייֵּט
chiyut|חִיּוּת
lehachayot|לְהַחֲיוֹת
lichyot|לִחְיוֹת
chayim|חַיִּים
michya|מִחְיָה
tchiya|תְּחִייָּה
chaya|חַיָּה
lechayech|לְחַייֵּךְ
chiyuch|חִיּוּךְ
chaychan|חַייְכָן
mechuyach|מְחוּיָּךְ
lecholel|לְחוֹלֵל
lehitcholel|לְהִתְחוֹלֵל
chayal|חַייָּל
tchula|תְּחוּלָה
lechayel|לְחַייֵּל
chek|חֵיק
lechakot|לְחַכּוֹת
lechakech|לְחַכֵּךְ
chikuch|חִיכּוּךְ
lehitchakech|לְהִתְחַכֵּךְ
lehitchakem|לְהִתְחַכֵּם
chochma|חוֹכְמָה
chacham|חָכָם
lachkom|לַחְכּוֹם
lehachkim|לְהַחְכִּים
lehechacher|לְהֵיחָכֵר
lehachkir|לְהַחְכִּיר
lachkor|לַחְכּוֹר
chalav|חָלָב
chalavi|חֲלָבִי
lachlov|לַחְלוֹב
chaluda|חֲלוּדָה
lehachlid|לְהַחְלִיד
chalud|חָלוּד
chulda|חוּלְדָּה
lechalchel|לְחַלְחֵל
lehitchalchel|לְהִתְחַלְחֵל
lehachlit|לְהַחְלִיט
lechalet|לְחַלֵּט
chilut|חִילּוּט
hachlata|הַחְלָטָה
lachlot|לַחְלוֹט
chiltur|חִילְטוּר
lechalter|לְחַלְטֵר
lachalot|לַחֲלוֹת
lechalot|לְחַלּוֹת
machala|מַחֲלָה
lehitchalot|לְהִתְחַלּוֹת
chalon|חַלּוֹן
lechalel|לְחַלֵּל
tchila|תְּחִילָּה
chalal|חָלָל
chalil|חֲלִיל
chalila|חָלִילָה
lehachel|לְהָחֵל
lehachlim|לְהַחְלִים
chalom|חָלוֹם
lachlom|לַחְלוֹם
chalufa|חֲלוּפָה
lehachalif|לְהַחֲלִיף
lehitchalef|לְהִתְחַלֵּף
chalifa|חֲלִיפָה
hachlafa|הַחְלָפָה
lachalof|לַחֲלוֹף
mechlaf|מֶחְלָף
machlef|מַחְלֵף
lachalotz|לַחֲלוֹץ
lehechaletz|לְהֵיחָלֵץ
lechaletz|לְחַלֵּץ
chalutz|חָלוּץ
chultza|חוּלְצָה
lechalek|לְחַלֵּק
lehachalik|לְהַחֲלִיק
chalaklak|חֲלַקְלַק
chelek|חֵלֶק
chalak|חָלָק
chaluka|חֲלוּקָּה
chelkik|חֶלְקִיק
mechalek|מְחַלֵּק
lachalok|לַחֲלוֹק
lehitchalek|לְהִתְחַלֵּק
lehechalek|לְהֵיחָלֵק
lehachalish|לְהַחֲלִישׁ
lachalosh|לַחֲלוֹשׁ
lehitchalesh|לְהִתְחַלֵּשׁ
lehechalesh|לְהֵיחָלֵשׁ
chulsha|חוּלְשָׁה
chalash|חַלָּשׁ
lachalosh|לַחֲלוֹשׁ
cham|חָם
lehachami|לְהַחֲמִיא
chamud|חָמוּד
chemda|חֶמְדָּה
nechmad|נֶחְמָד
lachmod|לַחְמוֹד
chamot|חָמוֹת
lachmol|לַחְמוֹל
chamim|חָמִים
lechamem|לְחַמֵּם
chom|חוֹם
hitchamemut|הִתְחַמְּמוּת
cham|חַם
lehitchamem|לְהִתְחַמֵּם
lehachamitz|לְהַחֲמִיץ
lachmotz|לַחְמוֹץ
chumtza|חוּמְצָה
chometz|חוֹמֶץ
machmatz|מַחְמָץ
chamtzan|חַמְצָן
chamutz|חָמוּץ
lehitchametz|לְהִתְחַמֵּץ
lechamtzen|לְחַמְצֵן
lehitchamtzen|לְהִתְחַמְצֵן
lehitchamek|לְהִתְחַמֵּק
chamakmak|חֲמַקְמַק
lachmok|לַחְמוֹק
lehachmir|לְהַחְמִיר
chemar|חֵימָר
chomer|חוֹמֶר
chamur|חָמוּר
chamor|חֲמוֹר
lehitchamesh|לְהִתְחַמֵּשׁ
chamishi|חֲמִישִׁי
chamush|חָמוּשׁ
chomesh|חוֹמֶשׁ
lachnot|לַחְנוֹט
lehechanet|לְהֵיחָנֵט
lachanot|לַחֲנוֹת
lehachanot|לְהַחֲנוֹת
machane|מַחֲנֶה
chanut|חֲנוּת
tachana|תַּחֲנָה
lechanech|לְחַנֵּךְ
lehechanech|לְהֵיחָנֵךְ
chinuch|חִינּוּךְ
lehitchanech|לְהִתְחַנֵּךְ
chanich|חָנִיךְ
chanuka|חֲנוּכָּה
chinuchi|חִינּוּכִי
lachanoch|לַחֲנוֹךְ
lehitchanen|לְהִתְחַנֵּן
lachon|לָחוֹן
mechunan|מְחוּנָּן
lehitchanef|לְהִתְחַנֵּף
lehachanif|לְהַחֲנִיף
chanfan|חַנְפָן
lachanok|לַחֲנוֹק
lehechanek|לְהֵיחָנֵק
chanika|חֲנִיקָה
lehachnik|לְהַחְנִיק
chenek|חֶנֶק
chanak|חַנָּק
lehitchased|לְהִתְחַסֵּד
chesed|חֶסֶד
chasida|חֲסִידָה
lachasot|לַחֲסוֹת
chasut|חָסוּת
chisayon|חִיסָּיוֹן
lehechasech|לְהֵיחָסֵךְ
lachasoch|לַחֲסוֹךְ
chisachon|חִיסָּכוֹן
lechasel|לְחַסֵּל
lehitchasel|לְהִתְחַסֵּל
chisul|חִיסּוּל
lehechasem|לְהֵיחָסֵם
machsom|מַחְסוֹם
lachsom|לַחְסוֹם
lechasen|לְחַסֵּן
machsan|מַחְסָן
machsanit|מַחְסָנִית
chosen|חוֹסֶן
lehitchasen|לְהִתְחַסֵּן
lehitchasen|לְהִתְחַסֵּן
chasin|חָסִין
chasinut|חֲסִינוּת
lechaspes|לְחַסְפֵּס
mechuspas|מְחוּסְפָּס
lehachsir|לְהַחְסִיר
lachsor|לַחְסוֹר
lechaser|לְחַסֵּר
chaser|חָסֵר
chisaron|חִיסָּרוֹן
choser|חוֹסֶר
chisur|חִיסּוּר
chasarto'elet|חֲסַר תּוֹעֶלֶת
lehechafez|לְהֵיחָפֵז
lechapot|לְחַפּוֹת
lachof|לָחוֹף
lechofef|לְחוֹפֵף
lehitchafef|לְהִתְחָפֵף
lachpof|לַחְפּוֹף
lachpof|לַחְפּוֹף
lachpotz|לַחְפּוֹץ
lachpor|לַחְפּוֹר
lehechafer|לְהֵיחָפֵר
lehitchaper|לְהִתְחַפֵּר
lechapes|לְחַפֵּשׂ
lehitchapes|לְהִתְחַפֵּשׂ
chipus|חִיפּוּשׂ
chofshi|חוֹפְשִׁי
tachposet|תַּחְפּוֹשֶׂת
chofesh|חוֹפֶשׁ
chufsha|חוּפְשָׁה
lachtzov|לַחְצוֹב
lehechatzev|לְהֵיחָצֵב
machtzav|מַחְצָב
chatzav|חָצָב
lachatzot|לַחֲצוֹת
machatzit|מַחֲצִית
chatza'it|חֲצָאִית
lehechatzot|לְהֵיחָצוֹת
chetzi|חֶצִי
yachatz|יַחַץ
lehitchatzef|לְהִתְחַצֵּף
chutzpa|חוּצְפָּה
mechitza|מְחִיצָּה
lechatzetzer|לְחַצְצֵר
chatzer|חָצֵר
lechakot|לְחַקּוֹת
lehitchakot|לְהִתְחַקּוֹת
chakyan|חַקְייָן
chikuy|חִיקּוּי
choken|חוֹקֶן
lechokek|לְחוֹקֵק
tchika|תְּחִיקָּה
chok|חוֹק
lehechakek|לְהֵיחָקֵק
tchika|תְּחִיקָּה
lachkok|לַחְקוֹק
lachkor|לַחְקוֹר
lehechaker|לְהֵיחָקֵר
tachkir|תַּחְקִיר
mechkar|מֶחְקָר
cheker|חֵקֶר
lehecharev|לְהֵיחָרֵב
lacharov|לַחֲרוֹב
lehachariv|לְהַחֲרִיב
churban|חוּרְבָּן
lecharben|לְחַרְבֵּן
lehitcharben|לְהִתְחַרְבֵּן
lacharog|לַחֲרוֹג
lacharod|לַחֲרוֹד
lehechared|לְהֵיחָרֵד
lehachrid|לְהַחְרִיד
machrid|מַחְרִיד
charada|חֲרָדָה
lacharoz|לַחֲרוֹז
lehecharez|לְהֵיחָרֵז
charuz|חָרוּז
chariza|חֲרִיזָה
lehitcharez|לְהִתְחָרֵז
